[2 0]
[0 2]
alpha[1], 1
alpha[2], 1


[ 2 -1]
[-1  2]
alpha[1], 1
alpha[0] + alpha[1], 1
alpha[0], 1


[ 2 -2]
[-2  2]
13*alpha[0] + 12*alpha[1], 1
4*alpha[0] + 3*alpha[1], 1
23*alpha[0] + 24*alpha[1], 1
8*alpha[0] + 9*alpha[1], 1
6*alpha[0] + 5*alpha[1], 1
9*alpha[0] + 9*alpha[1], 1
alpha[1], 1
3*alpha[0] + 2*alpha[1], 1
15*alpha[0] + 15*alpha[1], 1
17*alpha[0] + 16*alpha[1], 1
4*alpha[0] + 4*alpha[1], 1
25*alpha[0] + 24*alpha[1], 1
17*alpha[0] + 17*alpha[1], 1
24*alpha[0] + 23*alpha[1], 1
9*alpha[0] + 10*alpha[1], 1
8*alpha[0] + 7*alpha[1], 1
20*alpha[0] + 21*alpha[1], 1
5*alpha[0] + 5*alpha[1], 1
4*alpha[0] + 5*alpha[1], 1
22*alpha[0] + 22*alpha[1], 1
21*alpha[0] + 21*alpha[1], 1
12*alpha[0] + 11*alpha[1], 1
5*alpha[0] + 6*alpha[1], 1
11*alpha[0] + 12*alpha[1], 1
21*alpha[0] + 22*alpha[1], 1
2*alpha[0] + alpha[1], 1
15*alpha[0] + 16*alpha[1], 1
23*alpha[0] + 23*alpha[1], 1
6*alpha[0] + 7*alpha[1], 1
15*alpha[0] + 14*alpha[1], 1
14*alpha[0] + 14*alpha[1], 1
19*alpha[0] + 18*alpha[1], 1
alpha[0] + 2*alpha[1], 1
alpha[0] + alpha[1], 1
24*alpha[0] + 25*alpha[1], 1
13*alpha[0] + 13*alpha[1], 1
18*alpha[0] + 18*alpha[1], 1
3*alpha[0] + 4*alpha[1], 1
22*alpha[0] + 23*alpha[1], 1
14*alpha[0] + 13*alpha[1], 1
21*alpha[0] + 20*alpha[1], 1
17*alpha[0] + 18*alpha[1], 1
2*alpha[0] + 2*alpha[1], 1
16*alpha[0] + 17*alpha[1], 1
6*alpha[0] + 6*alpha[1], 1
11*alpha[0] + 10*alpha[1], 1
12*alpha[0] + 13*alpha[1], 1
5*alpha[0] + 4*alpha[1], 1
16*alpha[0] + 15*alpha[1], 1
18*alpha[0] + 19*alpha[1], 1
9*alpha[0] + 8*alpha[1], 1
14*alpha[0] + 15*alpha[1], 1
3*alpha[0] + 3*alpha[1], 1
20*alpha[0] + 20*alpha[1], 1
20*alpha[0] + 19*alpha[1], 1
10*alpha[0] + 9*alpha[1], 1
